Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
1,1,0-4,0-4,1.4028112914080666,0.9777664865931242,1.8777781108932399
1,1,0-4,10-14,0.29417415847989203,0.21047376373081786,0.3819291261856525
1,1,0-4,15-19,0.17294448352325548,0.11284992628944077,0.24516236158560523
1,1,0-4,20-24,0.22984407029603462,0.14491988971247177,0.343253440990092
1,1,0-4,25-29,0.46199414082870094,0.34467274572962364,0.6005310484273255
1,1,0-4,30-34,0.3625733066124406,0.2790088433505302,0.4594643144077263
1,1,0-4,35-39,0.373752184538979,0.2744247941911268,0.48878287054127845
1,1,0-4,40-44,0.13726707495911328,0.07918823897593996,0.20874090740215087
1,1,0-4,45-49,0.09833582105128,0.05423845477285434,0.1490029747343574
1,1,0-4,5-9,0.47598552228296587,0.37867405799969794,0.597386152563771
1,1,0-4,50-54,0.1316045119119677,0.06721288780228253,0.21110463137962024
1,1,0-4,55-59,0.05018054784733104,0.02417980397110411,0.08157802013076865
1,1,0-4,60-64,0.0734296980302669,0.03338331463826476,0.130466989940093
1,1,0-4,65-69,0.054374679472606435,0.01665884533374388,0.10622912672793285
1,1,0-4,70-74,0.04270061135497351,0.00912141583189874,0.09365476419175961
1,1,0-4,75+,0.062119356557813706,0,0.16662281423052797
1,1,10-14,0-4,0.263408461720249,0.18846172832885133,0.3419857275519264
1,1,10-14,10-14,2.379066437889968,1.6229522977283533,3.267913685645782
1,1,10-14,15-19,0.5057960684856231,0.3898623489795393,0.6362701150033336
1,1,10-14,20-24,0.1307804853427636,0.08872833874381868,0.18201135214131117
1,1,10-14,25-29,0.19319308021317638,0.14308290836096418,0.24973389276460067
1,1,10-14,30-34,0.2793469493019076,0.22190603788631727,0.3417735075576825
1,1,10-14,35-39,0.3186236941822715,0.25673132232875856,0.3891405700398489
1,1,10-14,40-44,0.3666893120258089,0.27849152633263813,0.4742757356017492
1,1,10-14,45-49,0.20501955962602728,0.15327084090063905,0.26704016759054056
1,1,10-14,5-9,0.5748142469188298,0.4561520630092235,0.7138590214053222
1,1,10-14,50-54,0.16819344761461347,0.1207105845712565,0.2256866448372953
1,1,10-14,55-59,0.06835238822814442,0.03862726493013682,0.1064038353995367
1,1,10-14,60-64,0.041659029279412514,0.019320338278623353,0.07788053070806786
1,1,10-14,65-69,0.04332494546090458,0.019877873088885473,0.0710964877983261
1,1,10-14,70-74,0.030057268772079548,0.010202852664618556,0.06171489576425046
1,1,10-14,75+,0.03907311997010773,0.015351795677063634,0.07389582158790195
1,1,15-19,0-4,0.16120609978468964,0.10519038310732938,0.2285222825271836
1,1,15-19,10-14,0.526532283038802,0.4058456074869664,0.662355398066106
1,1,15-19,15-19,1.4381782951884627,0.9585423714462094,2.1275930840601163
1,1,15-19,20-24,0.3842497955743401,0.2703753662017802,0.523412309762384
1,1,15-19,25-29,0.21274304862684035,0.14730409467592667,0.2847468191729553
1,1,15-19,30-34,0.16746312352977394,0.11612355617083779,0.22254778447449483
1,1,15-19,35-39,0.25412446474611156,0.19551251231849492,0.3214556718028245
1,1,15-19,40-44,0.2631801480535425,0.1925167232975042,0.34386438114898155
1,1,15-19,45-49,0.22857149725403766,0.16954725202135038,0.29515484725426455
1,1,15-19,5-9,0.23525370691739042,0.16448271854039492,0.3087625933804962
1,1,15-19,50-54,0.18943815625124102,0.13926379859127194,0.246320890158421
1,1,15-19,55-59,0.09289093700887381,0.060266587057456675,0.12726986471766133
1,1,15-19,60-64,0.1090317720693951,0.05840354673400214,0.1715042233755379
1,1,15-19,65-69,0.07758865143279171,0.026011747358676323,0.17007494020124175
1,1,15-19,70-74,0.07325931197080854,0.03286288346717778,0.1360163383665725
1,1,15-19,75+,0.056413087761272324,0.018983088358637403,0.10573445961179372
1,1,20-24,0-4,0.21180247018664075,0.13354440939347836,0.31630977735526156
