Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
East Midlands,1,1,0-4,0-4,0.5671927089940062,0,2.00000002835559
East Midlands,1,1,0-4,12-17,0.4011375803231075,0,1.0767142605336837
East Midlands,1,1,0-4,18-25,0.29824158612718515,0,0.8019475403572277
East Midlands,1,1,0-4,26-34,0.6260194928096977,0.19294169515332746,1.0926605206286297
East Midlands,1,1,0-4,35-49,0.5091065017510743,0.1319021951230405,0.9173522635105507
East Midlands,1,1,0-4,5-11,0.416264106284594,0.11781549770585234,0.8289327853875034
East Midlands,1,1,0-4,50-69,0.2211369089355425,0,0.6235544046946225
East Midlands,1,1,0-4,70-79,0.02147404987542628,0,0.166666669065953
East Midlands,1,1,0-4,80+,0.018818788345432925,0,0.2625053056823254
East Midlands,1,1,12-17,0-4,0.29272336093064816,0,0.7857140107678451
East Midlands,1,1,12-17,12-17,4.142729256364564,0.4440482539096614,13.378125024256871
East Midlands,1,1,12-17,18-25,0.41505326916268737,0.10000130326126226,0.8515353602838027
East Midlands,1,1,12-17,26-34,0.6053816867463204,0.21829142642800384,1.1605316042777856
East Midlands,1,1,12-17,35-49,0.9659560906331037,0.5035349638756835,1.5016836311364161
East Midlands,1,1,12-17,5-11,1.0845062697249224,0.2340297847822155,2.911426881898611
East Midlands,1,1,12-17,50-69,0.2670057641918418,0.07144266672582258,0.5176146723187799
East Midlands,1,1,12-17,70-79,0.05324203741389797,0,0.18342755455435067
East Midlands,1,1,12-17,80+,0.02989905485689311,0,0.14082804198389873
East Midlands,1,1,18-25,0-4,0.1570316821874552,0,0.4222455121824768
East Midlands,1,1,18-25,12-17,0.29947383850652903,0.07215404953615037,0.6144092383194167
East Midlands,1,1,18-25,18-25,1.031581081089897,0.21428803828525675,2.6000001424026356
East Midlands,1,1,18-25,26-34,0.6938909711400583,0.20857032768713005,1.4597949661080214
East Midlands,1,1,18-25,35-49,0.915196213246408,0.3808190828901547,1.7588737343443133
East Midlands,1,1,18-25,5-11,0.3705438952514233,0.09659005337048335,0.8036628269374756
East Midlands,1,1,18-25,50-69,0.5586193367270131,0.1880695175643214,1.850429360495572
East Midlands,1,1,18-25,70-79,0.08149909179893293,0,0.4453539927785573
East Midlands,1,1,18-25,80+,0.022936825176604406,0,0.11783176897995055
East Midlands,1,1,26-34,0-4,0.2820388503306085,0.08692549434467105,0.4922733566276083
East Midlands,1,1,26-34,12-17,0.3737544102919207,0.13477015433829798,0.7164964102452952
East Midlands,1,1,26-34,18-25,0.5937357961347542,0.1784656015280665,1.2490903649771044
East Midlands,1,1,26-34,26-34,0.7636253572625764,0.3123807543462476,1.640936002033183
East Midlands,1,1,26-34,35-49,0.6785223181470371,0.3391992010743413,1.1348727178504152
East Midlands,1,1,26-34,5-11,0.34098487641332575,0.17433353408363153,0.5290511598053287
East Midlands,1,1,26-34,50-69,0.43886149054957324,0.1699076737986265,1.0370013510773928
East Midlands,1,1,26-34,70-79,0.07204816766902138,0,0.19995538994563014
East Midlands,1,1,26-34,80+,0.020759047948654477,0,0.10010563718238241
East Midlands,1,1,35-49,0-4,0.15637272914829986,0.04051393207727362,0.28176594983981157
East Midlands,1,1,35-49,12-17,0.4065797320136157,0.2119424605914328,0.632072341835445
East Midlands,1,1,35-49,18-25,0.5338847359379472,0.22215290291438436,1.026048650133322
East Midlands,1,1,35-49,26-34,0.4625891373371178,0.23125232820479819,0.7737104255782044
East Midlands,1,1,35-49,35-49,0.9980903885774293,0.5125000275702715,1.6874995296088644
East Midlands,1,1,35-49,5-11,0.34930135542832935,0.20177278150382322,0.4982392039386253
East Midlands,1,1,35-49,50-69,0.5593384954083601,0.3044184306621186,0.9224145323870984
East Midlands,1,1,35-49,70-79,0.10043134329284482,0.01428571429996315,0.23140942408992327
East Midlands,1,1,35-49,80+,0.021607736040273183,0,0.07142910715359771
East Midlands,1,1,5-11,0-4,0.26498897676618466,0.0750000005115215,0.5276891456444739
East Midlands,1,1,5-11,12-17,0.9460778589082597,0.20415778487263012,2.5398069035536626
East Midlands,1,1,5-11,18-25,0.4480014545453469,0.11678099399054398,0.9716584729798797
East Midlands,1,1,5-11,26-34,0.48180675221176256,0.24633078962897537,0.7475417201515216
East Midlands,1,1,5-11,35-49,0.7239469495403822,0.418185579299713,1.0326291216090209
East Midlands,1,1,5-11,5-11,1.8883528943778547,0.7917375349320788,3.654545615841175
East Midlands,1,1,5-11,50-69,0.3293593017487143,0.10954813549791671,0.6113544281893177
East Midlands,1,1,5-11,70-79,0.030150241348985186,0,0.10346715338833203
East Midlands,1,1,5-11,80+,0.005579382599087034,0,0.03574735461277271
East Midlands,1,1,50-69,0-4,0.06392648215630682,0,0.18025774040649303
East Midlands,1,1,50-69,12-17,0.10577332972864875,0.02830174384870185,0.20505110656795936
East Midlands,1,1,50-69,18-25,0.3067018908824412,0.10325685643516067,1.0159515550134275
East Midlands,1,1,50-69,26-34,0.28159566566247046,0.10902133254975487,0.6653923664704273
East Midlands,1,1,50-69,35-49,0.5264315491227862,0.2865089160687711,0.8681471330940559
East Midlands,1,1,50-69,5-11,0.14956523598137403,0.04974686505003015,0.2776219430722369
East Midlands,1,1,50-69,50-69,0.640212404698531,0.38461539274194956,0.980392572761316
East Midlands,1,1,50-69,70-79,0.14463175066880402,0.04171707592552916,0.31523764901773105
East Midlands,1,1,50-69,80+,0.06931605403288305,0,0.20499104721153288
East Midlands,1,1,70-79,0-4,0.02163489317869831,0,0.1679150231376545
East Midlands,1,1,70-79,12-17,0.07350746260257969,0,0.2532452693699318
East Midlands,1,1,70-79,18-25,0.15594608782512442,0,0.852171617353214
East Midlands,1,1,70-79,26-34,0.16111747931511974,0,0.4471495868084907
East Midlands,1,1,70-79,35-49,0.32942586638069427,0.046858716172003205,0.7590483958498602
East Midlands,1,1,70-79,5-11,0.04771695771612568,0,0.16375118613785505
East Midlands,1,1,70-79,50-69,0.5040630575790983,0.14539018401591683,1.0986498641767295
East Midlands,1,1,70-79,70-79,0.547034929521927,0,1.799970376129481
East Midlands,1,1,70-79,80+,0.1916155612991992,0,0.8571405509678528
East Midlands,1,1,80+,0-4,0.035844586834282134,0,0.500000002724587
East Midlands,1,1,80+,12-17,0.07804145335977715,0,0.36758436421616053
East Midlands,1,1,80+,18-25,0.08297478634091925,0,0.42626064331067814
East Midlands,1,1,80+,26-34,0.08776437687748852,0,0.4232231117229629
East Midlands,1,1,80+,35-49,0.13399506830108432,0,0.44295006537902837
East Midlands,1,1,80+,5-11,0.016693954310572124,0,0.1069589141865083
East Midlands,1,1,80+,50-69,0.4567159525380878,0,1.3506637487555402
East Midlands,1,1,80+,70-79,0.3622612646889292,0,1.6204780963740946
East Midlands,1,1,80+,80+,0.1796000016723787,0,1
East Midlands,1,2,0-4,0-4,0.26169398590470483,0,1.2504559168379954
East Midlands,1,2,0-4,12-17,0.1274611434832713,0,0.3939629419799332
East Midlands,1,2,0-4,18-25,0.3104922983416618,0,0.919925027067619
East Midlands,1,2,0-4,26-34,0.14889523603782634,0,0.48140226259938185
East Midlands,1,2,0-4,35-49,0.1890289710652425,0,0.6294120656921582
East Midlands,1,2,0-4,5-11,0.16873029545132842,0,0.4798912030621536
East Midlands,1,2,0-4,50-69,0.15123286192389437,0,0.48512322389528223
