Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
1,1,0-4,0-4,1.5456208001010285,1.0909537128997504,2.075274170572306
1,1,0-4,12-17,0.29959650349614086,0.22832380146100742,0.3848602456948632
1,1,0-4,18-25,0.38558126910872476,0.27822771646992495,0.5153816586188967
1,1,0-4,26-34,0.8534056151648715,0.6802377816823492,1.0548934942491697
1,1,0-4,35-49,0.6638074347163052,0.510065530726064,0.8548339054373245
1,1,0-4,5-11,0.6575289424183633,0.5262516091008889,0.7969953308894029
1,1,0-4,50-69,0.35694871919651877,0.23018890605073442,0.5066962775666725
1,1,0-4,70-79,0.05727936523182481,0.014283027278672911,0.12405349415209017
1,1,0-4,80+,0.03830113920762564,0,0.18180706516673126
1,1,12-17,0-4,0.22502648767669756,0.17149366730317644,0.2890679574844286
1,1,12-17,12-17,1.8200454804462107,1.2830771888051853,2.402476885497704
1,1,12-17,18-25,0.44791744160289804,0.3424930872145446,0.5628559082511355
1,1,12-17,26-34,0.4348122804621551,0.357120736057226,0.5200947417101398
1,1,12-17,35-49,0.8919816809234061,0.7644141577489298,1.0293606346624187
1,1,12-17,5-11,0.6157531960784918,0.4837726694169606,0.7596361385160773
1,1,12-17,50-69,0.41101543943349506,0.33041106227989697,0.4987405790898008
1,1,12-17,70-79,0.07211884533893317,0.039349792002988965,0.11455065555392656
1,1,12-17,80+,0.01936157606584636,0.005951792772549392,0.03957141311340856
1,1,18-25,0-4,0.22310974526292163,0.1609915209060261,0.2982164326432064
1,1,18-25,12-17,0.3450672039254114,0.263850256748163,0.43361364491205967
1,1,18-25,18-25,1.0999539998949843,0.844670234632071,1.3925447589748516
1,1,18-25,26-34,0.66430645372777275,0.5520832750267284,0.7968105610492856
1,1,18-25,35-49,0.6710554196290223,0.5620832455725955,0.7929125093318159
1,1,18-25,5-11,0.40691120857135094,0.304761831194719,0.521573404095577
1,1,18-25,50-69,0.5082252054805441,0.39242285603328014,0.6430510741920809
1,1,18-25,70-79,0.07144173481170779,0.032248969386107294,0.12880291061626958
1,1,18-25,80+,0.0569090858092996,0.01861078227496947,0.10982126252734652
1,1,26-34,0-4,0.3964943265304101,0.3160401294952544,0.4901060857009139
1,1,26-34,12-17,0.26895918597916463,0.2209020002014217,0.32171183898882144
1,1,26-34,18-25,0.5333930357239332,0.4432854330805464,0.6397848487998216
1,1,26-34,26-34,1.0800679759244771,0.9238558853247487,1.2699670141086699
1,1,26-34,35-49,0.7472764345470176,0.6459924896477351,0.8600648765656627
1,1,26-34,5-11,0.41527069137589173,0.35501456062944936,0.48306306778848707
1,1,26-34,50-69,0.5304616863896148,0.43622779587774724,0.6316247096657225
1,1,26-34,70-79,0.06067742432104688,0.035918396851608844,0.0895370717255267
1,1,26-34,80+,0.02241777461999793,0.0035308461203349636,0.05655447318079043
1,1,35-49,0-4,0.21209472910303478,0.16297227916763932,0.2731300617012586
1,1,35-49,12-17,0.37944322041218204,0.3251768236368368,0.4378833360988888
1,1,35-49,18-25,0.37054720329400476,0.31037432762331985,0.43783494506632975
1,1,35-49,26-34,0.5139105923649393,0.44425645941773856,0.5914765002004468
1,1,35-49,35-49,0.9920078996850074,0.8430541650178361,1.1649706492460474
