Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
East Midlands,1,1,0-4,0-4,0.5543365318187441,0,2.000000275077414
East of England,1,1,0-4,0-4,0.755595694719066,0,2.0000002817913947
Greater London,1,1,0-4,0-4,1.0964132931817767,0.2500053203616834,2.6000001178867413
North East,1,1,0-4,0-4,1.076022989023063,0.142857143527417,2.6006274841363783
North West,1,1,0-4,0-4,1.1131162095061236,0.4665384901626691,2.1055843549955595
South East,1,1,0-4,0-4,0.5124768979930634,0,1.4000000180348
South West,1,1,0-4,0-4,1.6813839235094008,0,5.291071465140796
West Midlands,1,1,0-4,0-4,1.746089304849458,0.9000005752951981,2.73097847506312
Yorkshire and the Humber,1,1,0-4,0-4,0.6143860156323255,0.125000002708171,1.2500000467544103
East Midlands,1,1,0-4,5-9,0.35601742838297634,0.09267751761140157,0.7995752156923305
East of England,1,1,0-4,5-9,0.29029371390151076,0,0.7154194313298053
Greater London,1,1,0-4,5-9,0.37672777603914853,0.1856184967865614,0.6332896741645165
North East,1,1,0-4,5-9,0.3123225823163742,0.10286018080448292,0.5910125937352119
North West,1,1,0-4,5-9,0.7776543654518983,0.46654025346621103,1.1382762467100687
South East,1,1,0-4,5-9,0.32196485242936673,0.0680102261133376,0.7090326205201649
South West,1,1,0-4,5-9,0.5538069166822083,0.08612055601050012,1.2803926523500337
West Midlands,1,1,0-4,5-9,0.8586842698052064,0.4367735250092127,1.4204310272231242
Yorkshire and the Humber,1,1,0-4,5-9,0.3356766109185151,0.13125901721534725,0.6091599789058857
East Midlands,1,1,0-4,10-14,0.39408123657149247,0,0.9972116843186837
East of England,1,1,0-4,10-14,0.28033512616768014,0.029089297324100913,0.6037232867634087
Greater London,1,1,0-4,10-14,0.14522336608739816,0.02050818764695724,0.3283583714346614
North East,1,1,0-4,10-14,0.5380228997879246,0.18486313470770918,1.0082825007154956
North West,1,1,0-4,10-14,0.1861716820044359,0.06658386689444577,0.37318618369223383
South East,1,1,0-4,10-14,0.12216465893325747,0,0.3671793480141816
South West,1,1,0-4,10-14,0.1629896849273697,0,0.5571952857163107
West Midlands,1,1,0-4,10-14,0.31521125908745784,0.11896786243599303,0.5719754999480774
Yorkshire and the Humber,1,1,0-4,10-14,0.4057179408052573,0.17121889954025868,0.710098263414989
East Midlands,1,1,0-4,15-19,0.11218545992165489,0,0.350489242393425
East of England,1,1,0-4,15-19,0.1352369993773052,0,0.38041985361210195
Greater London,1,1,0-4,15-19,0.21254493358931834,0.0196285254217037,0.5048298188968173
North East,1,1,0-4,15-19,0.28373502133799655,0.059983359698016034,0.54775930574662135
North West,1,1,0-4,15-19,0.162768627239815,0.04975337526820661,0.318499409525005
South East,1,1,0-4,15-19,0.2017792665138907,0,0.6272434916467212
South West,1,1,0-4,15-19,0.06886366722935998,0,0.37500000960796054
West Midlands,1,1,0-4,15-19,0.22336537122166258,0.0713085448707693,0.42704420057711356
Yorkshire and the Humber,1,1,0-4,15-19,0.10172276258891327,0.017665983979468714,0.23341048870367434
East Midlands,1,1,0-4,20-24,0.1837200350206455,0,0.5504043640622966
East of England,1,1,0-4,20-24,0.216949314585629,0,0.5048319807105556
Greater London,1,1,0-4,20-24,0.15231577224902335,0.02335029792421492,0.35923705805199063
North East,1,1,0-4,20-24,0.07648446334323757,0,0.2903242447345762
North West,1,1,0-4,20-24,0.22351249389358907,0.0573500049871256,0.4655599523938987
South East,1,1,0-4,20-24,0.20390382592288028,0,0.5000003418421017
South West,1,1,0-4,20-24,0.22199260829826722,0,0.8832841271636833
West Midlands,1,1,0-4,20-24,0.1340036500754703,0.027135962043884434,0.2619601906399714
Yorkshire and the Humber,1,1,0-4,20-24,0.4532926236270997,0.07680766478280966,1.0816822356453724
East Midlands,1,1,0-4,25-29,0.3062741454411644,0,0.6346057072112006
East of England,1,1,0-4,25-29,0.28274917245764797,0.050777136415817825,0.6400893412179591
Greater London,1,1,0-4,25-29,0.38312342468163335,0.17323627457306412,0.671041740019733
North East,1,1,0-4,25-29,0.3529668851067646,0.03883639878040328,0.8250008240219097
North West,1,1,0-4,25-29,0.5888847260379779,0.27760482650793455,1.0482697039939168
South East,1,1,0-4,25-29,0.3888536365549848,0.07997812640958725,0.7533395605752061
South West,1,1,0-4,25-29,0.17814386292375786,0,0.661293170306206
West Midlands,1,1,0-4,25-29,0.4698911876795523,0.22569664228727118,0.7684778460678975
Yorkshire and the Humber,1,1,0-4,25-29,0.20370707769937274,0.04041227409635697,0.4156687604057732
East Midlands,1,1,0-4,30-34,0.32105284282311336,0.04202608305722656,0.6910252317015371
East of England,1,1,0-4,30-34,0.38923341145903917,0.12696834968627493,0.6977411549140708
Greater London,1,1,0-4,30-34,0.34856367643298225,0.1352790340673944,0.6016585543092027
North East,1,1,0-4,30-34,0.41644695446367597,0.16076779317748635,0.7140260001128576
North West,1,1,0-4,30-34,0.3851776978800863,0.18673532929815567,0.6289455866493691
South East,1,1,0-4,30-34,0.4037510374531262,0.08317562106749463,0.8082758238191304
South West,1,1,0-4,30-34,0.46137214130272164,0,1.3062032459310196
West Midlands,1,1,0-4,30-34,0.40791224747492905,0.22687738162765655,0.6323333875540663
Yorkshire and the Humber,1,1,0-4,30-34,0.10499162252156341,0,0.24303512835710925
East Midlands,1,1,0-4,35-39,0.28948060358277994,0,0.6116184435985401
East of England,1,1,0-4,35-39,0.1077611053805144,0,0.32770259377493205
Greater London,1,1,0-4,35-39,0.31603149077996295,0.10532386799464047,0.570608986567013
North East,1,1,0-4,35-39,0.5045165685882714,0.24663298768011566,0.787332061087132
North West,1,1,0-4,35-39,0.36275500619362555,0.10546842069561149,0.7567391394317606
South East,1,1,0-4,35-39,0.2593014745553735,0,0.6000000124720436
South West,1,1,0-4,35-39,0.418588829442962,0,0.970650007917015
West Midlands,1,1,0-4,35-39,0.2970954725351145,0.131733273811624,0.510907602423533
Yorkshire and the Humber,1,1,0-4,35-39,0.34509967864998153,0.10089809541990605,0.8618811178592237
East Midlands,1,1,0-4,40-44,0.0863814573264961,0,0.333333337714858
East of England,1,1,0-4,40-44,0.09954592695380302,0,0.27960381654695826
Greater London,1,1,0-4,40-44,0.10287094217351932,0,0.28241942497106026
North East,1,1,0-4,40-44,0.09013600788362074,0,0.23867324318174654
North West,1,1,0-4,40-44,0.289409925354457,0.04166512044607383,0.7883711177611481
South East,1,1,0-4,40-44,0.06629305095013385,0,0.25002026055614973
South West,1,1,0-4,40-44,0.20901031334311654,0,0.7499890988363801
West Midlands,1,1,0-4,40-44,0.08776345738145029,0,0.20205789269792165
Yorkshire and the Humber,1,1,0-4,40-44,0.13875640457668845,0,0.3113407871151556
East Midlands,1,1,0-4,45-49,0.13279929106267147,0,0.44846938560387023
East of England,1,1,0-4,45-49,0.05891389429084387,0,0.22514622659295305
Greater London,1,1,0-4,45-49,0.07022266578008936,0,0.200000451147485
North East,1,1,0-4,45-49,0.0348060180952223,0,0.15102462635083466
North West,1,1,0-4,45-49,0.21009392410687958,0.040472077100208705,0.48454802639814903
South East,1,1,0-4,45-49,0.05412269991316808,0,0.17390958090360076
South West,1,1,0-4,45-49,0.029204107207106013,0,0.20621137248698646
West Midlands,1,1,0-4,45-49,0.1221575150274065,0.03733355251301878,0.2356397447338141
Yorkshire and the Humber,1,1,0-4,45-49,0.07615692991042482,0,0.22181474322182698
East Midlands,1,1,0-4,50-54,0.05023849887957107,0,0.250000003796438
East of England,1,1,0-4,50-54,0.08463563685644451,0,0.3524863624496511
Greater London,1,1,0-4,50-54,0.054246171191895697,0,0.18189467861523706
North East,1,1,0-4,50-54,0.041786069175475456,0,0.17212146557025798
North West,1,1,0-4,50-54,0.16921684261916078,0.01299478365636687,0.4382950687426812
South East,1,1,0-4,50-54,0.1709003208066233,0,0.47006443518300495
South West,1,1,0-4,50-54,0.024723960631374355,0,0.250000003796438
West Midlands,1,1,0-4,50-54,0.09619465149009726,0,0.2127137844453041
Yorkshire and the Humber,1,1,0-4,50-54,0.036835368047066566,0,0.11614202225675797
East Midlands,1,1,0-4,55-59,0.017562692873606636,0,0.16430380237135023
East of England,1,1,0-4,55-59,0.018037232630048344,0,0.11157379868889455
Greater London,1,1,0-4,55-59,0.041483011006213856,0,0.15006612584401255
North East,1,1,0-4,55-59,0.03784035443357987,0,0.1500174117634752
North West,1,1,0-4,55-59,0.08756819060980663,0,0.2110417892985724
South East,1,1,0-4,55-59,0.13630532539680226,0,0.3544344682838788
